Company,Sector,Stage,Amount($),Location,funding_year,Investor
NEETprep,EdTech,Unknown,0.0,New Delhi,2020,IndiaQuotient
Dot Pvt. Ltd,FinTech,Seed ,8000000.0,Gurgaon,2020,"PayU, Fosun RZ Capital"
Kuku FM,Media,Series A,5500000.0,Mumbai,2020,Vertex Ventures
SuperMoney,FinTech,Pre-series A,1000000.0,Mumbai,2020,Unitus Ventures.
Rebel Foods,FoodTech,Unknown,4900000.0,Unknown,2020,Alteria Capital
AlphaVector,E tailor,Unknown,0.0,Bengaluru,2020,"Avaana Capital, Titan Capital"
Fox Capital,FinTech,Unknown,2500000.0,Jaipur,2020,Institutional Investors
Tribe Theory,Accomodation,Unknown,3500000.0,Bengaluru,2020,Tim Draper
Fleetx,SaaS,Series A,1402400.0,Unknown,2020,Beenext
Embibe,EdTech,Unknown,12618300.0,Mumbai,2020,Reliance Industries Limited (RIL)
Entri,EdTech,Seed ,1400000.0,Kochi,2020,Good Capital
Oye! Rickshaw,E-mobility,Series A,10000000.0,Unknown,2020,Chiratae Ventures
Seal Professional,EdTech,Pre-series A,0.0,Bengaluru,2020,Equanimity Ventures
Sprinng Foods,Food,Unknown,0.0,Mumbai,2020,"Mistletoe, Info Edge Asia"
1MG,HealthTech,Unknown,9900000.0,Gurgaon,2020,Bill & Melinda Gates Foundation
Aagey,FinTech,Unknown,0.0,Bengaluru,2020,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain"
Doubtnut,EdTech,Series A,15000000.0,Gurgaon,2020,Tencent
AdonMo,Ad-Tech,Unknown,3000000.0,Bengaluru,2020,Ant Financial
RACEnergy,E-mobility,Seed ,0.0,Unknown,2020,"GrowX ventures, Prophetic Ventures"
BharatPe,FinTech,Unknown,100000000.0,New Delhi,2020,Coatue Management
Kisan Network,AgriTech,Seed ,3000000.0,Gurgaon,2020,Atsushi Taira
Vogo,Automotive,Series C,35000000.0,Bengaluru,2020,Lightstone Aspada
Unotech,SaaS,Unknown,2000000.0,Mumbai,2020,Manish Choksi
Zetwerk,Marketplace,Unknown,2200000.0,Bengaluru,2020,InnoVen capital
CureSkin,HealthTech,Unknown,500000.0,Bengaluru,2020,SenseAI Ventures
WizKlub,EdTech,Seed ,982530.0,Bengaluru,2020,Incubate Fund India
Interviewbit,EdTech,Series A,200000000.0,Pune,2020,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)"
MoneyTap,FinTech,Series B,70185200.0,Unknown,2020,"Aquiline Technology Growth (ATG), RTP Global, Sequoia India"
Uniplatform Tech,SaaS,Unknown,0.0,New Delhi,2020,"Frontline Strategy Finds, SucSEED Venture Partners LLP"
INdwealth,FinTech,Series C,12000000.0,Gurgaon,2020,"Tiger Global, Steadview Capital, DF International Private Partners"
Bizongo,Marketplace,Series C,30000000.0,Mumbai,2020,Schroder Adveq
AppsFlyer,SaaS,Series D,210000000.0,Bengaluru,2020,General Atlantic
Digit Insurance,InsurTech,Unknown,84000000.0,Bengaluru,2020,"A91 Partners, Faering Capital, TVS Capital"
Livspace,Interior Design,Series D,60000000.0,Bengaluru,2020,"Tahoe Investment Group, Mercer Investment"
GetVantage,FinTech,Seed ,0.0,Mumbai,2020,"Samyakth Capital, Venture Catalysts"
Konfinity,EdTech,Unknown,0.0,Noida,2020,Angel Investors
Pine Labs,FinTech,Unknown,0.0,Noida,2020,Mastercard
Instoried,SaaS,Unknown,0.0,New Delhi,2020,"SOSV, Chinaccelerator"
Nupay,Neo-banking,Unknown,0.0,Haryana,2020,Venture Catalysts
LogiNext,Transport Automation,Series B,39000000.0,Unknown,2020,"Tiger Global, Steadview Capital"
Samosa Singh,Food,Series A,2700000.0,Bengaluru,2020,She Capital
Crysta,HealthTech,Pre-series A,1403400.0,New Delhi,2020,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli"
Eupheus Learning,EdTech,Series A,4300000.0,New Delhi,2020,Yuj Ventures
Bounce,Automotive and Rentals,Series D,105000000.0,Bengaluru,2020,"Accel Partners, B Capital"
Park+,Techonology,Unknown,11000000.0,Unknown,2020,"Sequoia Capital, Matrix Partners India"
Goodmylk,Dairy,Seed ,400000.0,Bengaluru,2020,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest"
SmartKarrot,SaaS,Unknown,1000000.0,Unknown,2020,Angel Investors
Skylo,IoT,Series B,103000000.0,Unknown,2020,SoftBank Group
Tea Trunk,Beverage,Unknown,220000.0,Goa,2020,Angel Investors
Zoomcar,"Transport , Rentals",Series D,30000000.0,Bengaluru,2020,Sony Innovation Fund
Mera Cashier,FinTech,Seed ,250000.0,Noida,2020,"Amit Singal, Manish Aggarwal"
Samya AI,SaaS,Seed ,6000000.0,Unknown,2020,Sequoia India
Kristal AI,AI,Series A,6000000.0,Unknown,2020,Chiratae Ventures
Invento Robotics,AI Robotics,Seed ,281300.0,Unknown,2020,"Windrose Capital, ITI Growth Opportunities Venture Fund"
Zimyo,HR Tech,Unknown,0.0,Gurgaon,2020,Yatra Angel Network (YAN)
Sabse Sasta Dukaan,Pharmaceutical,Unknown,0.0,Kolkata,2020,Angel Investors
Fitphilia,HealthTech,Unknown,0.0,Mumbai,2020,Angel Investors
Medicus,HealthTech,Unknown,12700.0,Mumbai,2020,Angel Investors
Monech,FinTech,Seed ,12700.0,Mumbai,2020,Angel Investors
Teach Us,EdTech,Seed ,12700.0,Unknown,2020,Angel Investors
Dealberg,B2B marketplace,Unknown,0.0,Bengaluru,2020,Unknown
Phenom People,HR Tech,Series C,30000000.0,Unknown,2020,WestBridge Capital
Extra Edge,EdTech,Pre-series A,700000.0,Pune,2020,"Sprout Venture Partners, Indian Angel Network"
Capital Quotient,FinTech,Unknown,600000.0,Bengaluru,2020,Unknown
Karfa,E-commerce,Seed ,25000.0,New Delhi,2020,Unknown
Gamerji,Gaming,Unknown,400000.0,Unknown,2020,La Gajjar Group
Bounce,Automotive and Rentals,Series D,97500000.0,Bengaluru,2020,"Accel Partners, B Capital"
Zinier,Automation,Series C,90000000.0,Bengaluru,2020,ICONIQ Capital
ProEves,Preschool Daycare,Seed ,507000.0,New Delhi,2020,1Crowd
Toddle,Unknown,Unknown,0.0,Bengaluru,2020,Matrix Partners India
Aesthetic Nutrition,Food diet,Pre-series A,0.0,Unknown,2020,DSG Consumer Partners
Capital Float,FinTech,Unknown,15000000.0,Bengaluru,2020,"Sequoia Capital, Ribbit Capital, Amazon, Saif Partners"
Ninjacart,B2B AgriTech,Series C,10000000.0,Bengaluru,2020,"Flipkart India, Singapore-based GEC3"
TechnifyBiz,B2B AgriTech,Seed ,2000000.0,Unknown,2020,"Omnivore, Insitor Impact Asia Fund"
Wysh,E-connect,Series A,2000000.0,Hyderabad,2020,Kalaari Capital
Keito,AI,Seed ,160000.0,Pune,2020,Suma Soft Pvt Ltd
Klub,FinTech,Pre-seed,2000000.0,Unknown,2020,Sequoia Surge
Aadhar,E-commerce,Seed ,0.0,Mumbai,2020,"Sprout Venture Partners, JITO Angel Network, LetsVenture"
IncubateHub,Tech hub,Unknown,0.0,Bengaluru,2020,Venture Catalysts
Rage Coffee,FMCG,Unknown,0.0,New Delhi,2020,Refex Capital
Skilancer,Technology,Unknown,0.0,Noida,2020,Venture Catalysts
Harappa Education,EdTech,Unknown,0.0,New Delhi,2020,James Murdoch-led Lupa Systems
Rheo,Entertainment,Unknown,2000000.0,Unknown,2020,"Lightspeed Venture Partners, Sequoia Surge"
Axio Biosolutions,MedTech,Series B,5200000.0,Bengaluru,2020,Omidyar Network India
Techbooze,Consultancy,Series A,15000000.0,Unknown,2020,Space Capital
PayMart,FinTech,Unknown,0.0,Chandigarh,2020,"IIM Ahmedabad’s incubator (CIIE.CO),Chandigarh Angels Network"
Testbook,EdTech,Series B,8400000.0,Unknown,2020,Iron Pillar
FabAlley,E-commerce,Unknown,1100000.0,Noida,2020,Trifecta Capital
HaikuJAM,Unknown,Unknown,3400000.0,Unknown,2020,"Lightbox, Social Capital, Dunce Capital"
Mamaearth,E-commerce,Series A,18300000.0,Unknown,2020,Sequoia India
Rentomojo,Rental,Unknown,2000000.0,Unknown,2020,GMO Payment Gateway
Zomato,FoodTech,Unknown,150000000.0,Unknown,2020,Ant Financial
Byju's,EdTech,Unknown,200000000.0,Unknown,2020,Tiger Global
Generico,Pharmacy,Unknown,1400000.0,Mumbai,2020,Alteria Capital
HighRadius,SaaS,Series B,125000000.0,Hyderabad,2020,ICONIQ Capital
Chai Kings,Beverage,Unknown,1000000.0,Chennai,2020,The Chennai Angels (TCA)
Rivigo,Logistics,Series F,3400000.0,Gurgaon,2020,Trifecta Capital
BuildPan,SaaS,Seed ,0.0,Indore,2020,"HNIs in India, Japan, and the US"
Shiksha,EdTech,Unknown,181000.0,Unknown,2020,Mumbai Angels Network
Super Surfaces,Deisgning,Series A,500000.0,Hyderabad,2020,Vishnu Reddy
